id,attendantId,rating,comment,date
,cmf61gvly000dtmdxe53ruvnr,5,,2025-08-12 14:33:56.058193+00
,cmf61gvly000ltmdx3lmihnnk,5,"Excelente atendimento ",2025-08-14 13:44:02.862283+00
,cmf61gvly000ztmdxy6ivci4g,5,"Atenciosa e sábia ",2025-08-12 13:08:53.243987+00
,cmf61gvly000dtmdxe53ruvnr,5,Muito bem atendido,2025-08-14 15:36:00.090382+00
,cmf61gvly000ttmdxiz2klpt1,5,"Atendimento sempre Exelente , personalizado .",2025-08-15 18:34:20.116628+00
,cmf61gvly000ntmdxmzg7j6ib,5,"Lucas se mostrou um profissional, qualificado, dedicado, paciente e muito ético. Foi totalmente imparcial com relação às partes envolvidas no processo de registro dos fatos na ata notorial.",2025-08-13 12:55:45.976691+00
,cmf61gvly000wtmdxv5fxs371,5,,2025-08-14 01:05:32.510772+00
,cmf61gvly000ttmdxiz2klpt1,1,,2025-08-07 18:26:46.544318+00
,cmf61gvly000ttmdxiz2klpt1,5,,2025-08-06 20:09:07.691909+00
,cmf61gvly000dtmdxe53ruvnr,5,Pratica e rápida!,2025-08-12 19:06:57.998203+00
,cmf61gvly000ctmdxdz9ltjkf,5,,2025-08-08 21:36:17.387661+00
,cmf61gvly000ztmdxy6ivci4g,5,,2025-08-22 13:55:00.506913+00
,cmf61gvly000ztmdxy6ivci4g,5,,2025-08-20 19:05:02.673752+00
,cmf61gvly000ktmdxcantm62e,5,,2025-08-26 13:51:22.137419+00
,cmf61gvly000ttmdxiz2klpt1,5,,2025-08-08 12:26:02.408571+00
,cmf61gvly000dtmdxe53ruvnr,5,,2025-08-14 13:45:54.138456+00
,cmf61gvly000ltmdx3lmihnnk,5,"Atendente super atenciosa. ",2025-08-28 15:20:36.930359+00
,cmf61gvly000ztmdxy6ivci4g,5,,2025-08-21 17:41:42.448378+00
,cmf61gvly000etmdxm1vxocxm,5,"Parabéns, muito competente, atenciosa e prestativa!",2025-08-15 18:35:58.401869+00
,cmf61gvly000ztmdxy6ivci4g,5,"Ótima atendente ",2025-09-02 17:21:48.901926+00
,cmf61gvly000dtmdxe53ruvnr,5,"Fui muito bem atendido !! Obrigado ",2025-08-26 11:35:18.181769+00
,cmf61gvly000ztmdxy6ivci4g,5,,2025-08-13 13:18:32.062659+00
,cmf61gvly000dtmdxe53ruvnr,5,"Excelente atendimento, educada e muito simpática. ",2025-08-19 13:01:29.469041+00
,cmf61gvly000ztmdxy6ivci4g,5,"Ótima atendente ",2025-08-16 14:32:11.655023+00
,cmf61gvly000ttmdxiz2klpt1,5,Ótimo atendimento!,2025-08-08 12:29:56.92847+00
,cmf61gvly000ltmdx3lmihnnk,5,,2025-08-20 16:41:49.646992+00
,cmf61gvly000ttmdxiz2klpt1,5,,2025-08-15 18:40:39.143704+00
,cmf61gvly000ftmdxa217uwmc,5,,2025-09-04 13:09:59.679885+00
,cmf61gvly000ttmdxiz2klpt1,5,,2025-08-12 15:06:31.024099+00
,cmf61gvly000ttmdxiz2klpt1,5,,2025-08-07 19:17:46.235876+00
,cmf61gvly000ttmdxiz2klpt1,5,,2025-08-12 14:56:24.461338+00
,cmf61gvly000dtmdxe53ruvnr,5,"Muito sastifatorio adorei o atendimento ",2025-08-20 19:04:54.407369+00
,cmf61gvly000stmdxuwoe9z8f,5,,2025-08-15 12:10:50.56266+00
,cmf61gvly000dtmdxe53ruvnr,5,Maravilhosa! Muito atenciosa e paciente,2025-08-20 16:30:52.425071+00
,cmf61gvly000dtmdxe53ruvnr,5,Atendimento nota dez ! Por excelência.,2025-09-02 14:41:33.849828+00
,cmf61gvly000dtmdxe53ruvnr,5,"Atendimento rápido e fácil muito feliz e parabéns a atendente ",2025-08-15 11:50:04.886471+00
,cmf61gvly000ntmdxmzg7j6ib,5,Lucas é um profissão exemplar. Dedicado ao serviço e muito focado no atendimento do cliente. Tivemos uma demanda onde necessitamos o apoio dele e o resulto foi além do esperado. Sempre muito paciente e disponível para atender ao cliente. Parabéns .,2025-08-08 19:15:11.340955+00
,cmf61gvly000ttmdxiz2klpt1,5,"Ótimo atendimento. ",2025-08-07 18:21:28.204303+00
,cmf61gvly000ttmdxiz2klpt1,5,,2025-08-07 17:58:05.724037+00
,cmf61gvly000mtmdxvcpdss3r,5,,2025-08-05 11:13:58.78927+00
,cmf61gvly000qtmdxznrx7ibn,5,,2025-08-16 14:31:37.060887+00
,cmf61gvly000dtmdxe53ruvnr,5,,2025-08-14 13:40:28.207353+00
,cmf61gvly000ltmdx3lmihnnk,5,Fui muito bem atendido !!,2025-08-26 11:34:37.368256+00
,cmf61gvly000dtmdxe53ruvnr,5,,2025-08-14 15:22:58.026323+00
,cmf61gvly000ytmdxm1l6v3hn,5,"Excelente atendimento, atencioso, um cara visivelmente dedicado, eficiente e comprometido",2025-08-26 17:46:55.137207+00
,cmf61gvly000ltmdx3lmihnnk,5,,2025-08-14 13:36:43.991012+00
,cmf61gvly000ttmdxiz2klpt1,5,,2025-08-21 12:54:43.186724+00
,cmf61gvly000ttmdxiz2klpt1,5,,2025-08-07 18:28:06.756079+00
,cmf61gvly000ttmdxiz2klpt1,5,,2025-08-07 18:28:03.547326+00
,cmf61gvly000xtmdxfzcutje7,5,"Um escrevente muito gentil, prestativo sempre busca o melhor para o cliente",2025-08-16 11:44:49.078441+00
,cmf61gvly000ktmdxcantm62e,5,"Educado, bem humorado, Excelente atendimento!🤝",2025-08-29 13:31:23.672126+00
,cmf61gvly000xtmdxfzcutje7,5,,2025-08-13 18:58:33.024369+00
,cmf61gvly000dtmdxe53ruvnr,5,,2025-08-18 16:02:11.378713+00
,cmf61gvly000ltmdx3lmihnnk,5,,2025-08-20 13:41:46.461785+00
,cmf61gvly000ttmdxiz2klpt1,5,,2025-08-07 18:27:38.612239+00
,cmf61gvly000dtmdxe53ruvnr,5,,2025-08-20 21:37:52.220097+00
,cmf61gvly000ztmdxy6ivci4g,5,Muito competente e atenciosa!,2025-08-27 15:16:09.228124+00
,cmf61gvly000ntmdxmzg7j6ib,5,,2025-08-08 18:42:48.622151+00
,cmf61gvly000ytmdxm1l6v3hn,5,Muito simpatico e educado,2025-08-18 16:18:56.686645+00
